date,users
10/1/17,0
10/2/17,0
10/3/17,0
10/4/17,0
10/5/17,0
10/6/17,0
10/7/17,0
10/8/17,0
10/9/17,0
10/10/17,0
10/11/17,0
10/12/17,0
10/13/17,0
10/14/17,0
10/15/17,0
10/16/17,0
10/17/17,0
10/18/17,0
10/19/17,0
10/20/17,0
10/21/17,0
10/22/17,0
10/23/17,0
10/24/17,0
10/25/17,0
10/26/17,0
10/27/17,0
10/28/17,0
10/29/17,0
10/30/17,0
10/31/17,0
11/1/17,0
11/2/17,0
11/3/17,0
11/4/17,0
11/5/17,0
11/6/17,0
11/7/17,40
11/8/17,90
11/9/17,79
11/10/17,16
11/11/17,10
11/12/17,18
11/13/17,15
11/14/17,25
11/15/17,29
11/16/17,41
11/17/17,35
11/18/17,23
11/19/17,35
11/20/17,23
11/21/17,29
11/22/17,30
11/23/17,6
11/24/17,5
11/25/17,2
11/26/17,46
11/27/17,45
11/28/17,141
11/29/17,268
11/30/17,69
12/1/17,52
12/2/17,21
12/3/17,36
12/4/17,25
12/5/17,29
12/6/17,259
12/7/17,140
12/8/17,40
12/9/17,254
12/10/17,151
12/11/17,60
12/12/17,174
12/13/17,59
12/14/17,56
12/15/17,35
12/16/17,29
12/17/17,89
12/18/17,90
12/19/17,78
12/20/17,134
12/21/17,68
12/22/17,51
12/23/17,52
12/24/17,45
12/25/17,53
12/26/17,80
12/27/17,61
12/28/17,56
12/29/17,71
12/30/17,53
12/31/17,42
1/1/18,57
1/2/18,63
1/3/18,78
1/4/18,73
1/5/18,38
1/6/18,87
1/7/18,61
1/8/18,51
1/9/18,45
1/10/18,55
1/11/18,46
1/12/18,34
1/13/18,49
1/14/18,70
1/15/18,47
1/16/18,45
1/17/18,44
1/18/18,49
1/19/18,38
1/20/18,40
1/21/18,55
1/22/18,47
1/23/18,57
1/24/18,34
1/25/18,58
1/26/18,51
1/27/18,46
1/28/18,79
1/29/18,49
1/30/18,121
1/31/18,66
2/1/18,32
2/2/18,41
2/3/18,43
2/4/18,47
2/5/18,137
2/6/18,113
2/7/18,74
2/8/18,81
2/9/18,85
2/10/18,62
2/11/18,78
2/12/18,67
2/13/18,44
2/14/18,447
2/15/18,158
2/16/18,214
2/17/18,69
2/18/18,49
2/19/18,50
2/20/18,40
2/21/18,54
2/22/18,306
2/23/18,258
2/24/18,228
2/25/18,60
2/26/18,59
2/27/18,61
2/28/18,59
3/1/18,217
3/2/18,123
3/3/18,68
3/4/18,75
3/5/18,67
3/6/18,44
3/7/18,55
3/8/18,205
3/9/18,194
3/10/18,169
3/11/18,301
3/12/18,182
3/13/18,99
3/14/18,79
3/15/18,213
3/16/18,155
3/17/18,76
3/18/18,82
3/19/18,302
3/20/18,167
3/21/18,103
3/22/18,118
3/23/18,100
3/24/18,75
3/25/18,78
3/26/18,122
3/27/18,242
3/28/18,95
3/29/18,134
3/30/18,152
3/31/18,223
4/1/18,206
4/2/18,279
4/3/18,155
4/4/18,147
4/5/18,116
4/6/18,97
4/7/18,94
4/8/18,125
4/9/18,91
4/10/18,313
4/11/18,264
4/12/18,152
4/13/18,117
4/14/18,119
4/15/18,214
4/16/18,357
4/17/18,149
4/18/18,99
4/19/18,129
4/20/18,206
4/21/18,141
4/22/18,89
4/23/18,137
4/24/18,93
4/25/18,89
4/26/18,84
4/27/18,100
4/28/18,102
4/29/18,154
4/30/18,286
5/1/18,220
5/2/18,146
5/3/18,75
5/4/18,82
5/5/18,47
5/6/18,253
5/7/18,224
5/8/18,145
5/9/18,72
5/10/18,87
5/11/18,59
5/12/18,60
5/13/18,95
5/14/18,73
5/15/18,510
5/16/18,281
5/17/18,180
5/18/18,127
5/19/18,104
5/20/18,147
5/21/18,105
5/22/18,121
5/23/18,154
5/24/18,219
5/25/18,158
5/26/18,114
5/27/18,144
5/28/18,144
5/29/18,121
5/30/18,116
5/31/18,220
6/1/18,295
6/2/18,247
6/3/18,177
6/4/18,238
6/5/18,58
6/6/18,20
6/7/18,238
6/8/18,128
6/9/18,137
6/10/18,90
6/11/18,258
6/12/18,203
6/13/18,279
6/14/18,127
6/15/18,87
6/16/18,29
6/17/18,36
6/18/18,105
6/19/18,155
6/20/18,160
6/21/18,148
6/22/18,219
6/23/18,170
6/24/18,189
6/25/18,157
6/26/18,146
6/27/18,160
6/28/18,173
6/29/18,179
6/30/18,210
7/1/18,161
7/2/18,145
7/3/18,85
7/4/18,150
7/5/18,163
7/6/18,106
7/7/18,107
7/8/18,368
7/9/18,368
7/10/18,252
7/11/18,172
7/12/18,165
7/13/18,144
7/14/18,130
7/15/18,144
7/16/18,210
7/17/18,187
7/18/18,191
7/19/18,278
7/20/18,253
7/21/18,525
7/22/18,489
7/23/18,340
7/24/18,349
7/25/18,386
7/26/18,351
7/27/18,270
7/28/18,261
7/29/18,276
7/30/18,832
7/31/18,696
8/1/18,464
8/2/18,389
8/3/18,336
8/4/18,680
8/5/18,363
8/6/18,313
8/7/18,416
8/8/18,378
8/9/18,360
8/10/18,332
8/11/18,331
8/12/18,414
8/13/18,530
8/14/18,610
8/15/18,388
8/16/18,399
8/17/18,349
8/18/18,321
8/19/18,365
8/20/18,450
8/21/18,568
8/22/18,419
8/23/18,363
8/24/18,375
8/25/18,272
8/26/18,384
8/27/18,462
8/28/18,427
8/29/18,411
8/30/18,330
8/31/18,306
9/1/18,273
9/2/18,355
9/3/18,346
9/4/18,349
9/5/18,384
9/6/18,193
9/7/18,368
9/8/18,376
9/9/18,548
9/10/18,465
9/11/18,448
9/12/18,387
9/13/18,333
9/14/18,322
9/15/18,326
9/16/18,408
9/17/18,431
9/18/18,423
9/19/18,326
9/20/18,297
9/21/18,258
9/22/18,286
9/23/18,519
9/24/18,538
9/25/18,385
9/26/18,384
9/27/18,373
9/28/18,317
9/29/18,316
9/30/18,625
10/1/18,427
10/2/18,379
10/3/18,449
10/4/18,606
10/5/18,328
10/6/18,328
10/7/18,540
10/8/18,426
10/9/18,381
10/10/18,302
10/11/18,332
10/12/18,292
10/13/18,278
10/14/18,666
10/15/18,443
10/16/18,294
10/17/18,310
10/18/18,291
10/19/18,246
10/20/18,270
10/21/18,658
10/22/18,611
10/23/18,512
10/24/18,490
10/25/18,417
10/26/18,351
10/27/18,336
10/28/18,456
10/29/18,343
10/30/18,364
10/31/18,313
11/1/18,371
11/2/18,329
11/3/18,271
11/4/18,457
11/5/18,462
11/6/18,397
11/7/18,405
11/8/18,334
11/9/18,271
11/10/18,341
11/11/18,468
11/12/18,370
11/13/18,310
11/14/18,494
11/15/18,348
11/16/18,349
11/17/18,495
11/18/18,502
11/19/18,765
11/20/18,1101
11/21/18,949
11/22/18,925
11/23/18,1557
11/24/18,776
11/25/18,670
11/26/18,1121
11/27/18,530
11/28/18,409
11/29/18,339
11/30/18,613
12/1/18,332
12/2/18,775
12/3/18,646
12/4/18,427
12/5/18,410
12/6/18,747
12/7/18,412
12/8/18,530
12/9/18,702
12/10/18,437
12/11/18,407
12/12/18,372
12/13/18,419
12/14/18,346
12/15/18,393
12/16/18,913
12/17/18,503
12/18/18,703
12/19/18,637
12/20/18,482
12/21/18,406
12/22/18,354
12/23/18,438
12/24/18,596
12/25/18,1075
12/26/18,1525
12/27/18,975
12/28/18,899
12/29/18,557
12/30/18,520
12/31/18,414
1/1/19,452
1/2/19,509
1/3/19,468
1/4/19,468
1/5/19,520
1/6/19,572
1/7/19,475
1/8/19,525
1/9/19,376
1/10/19,396
1/11/19,355
1/12/19,391
1/13/19,475
1/14/19,352
1/15/19,316
1/16/19,339
1/17/19,273
1/18/19,272
1/19/19,343
1/20/19,569
1/21/19,317
1/22/19,276
1/23/19,298
1/24/19,294
1/25/19,245
1/26/19,270
1/27/19,368
1/28/19,303
1/29/19,259
1/30/19,341
1/31/19,468
2/1/19,348
2/2/19,375
2/3/19,508
2/4/19,414
2/5/19,394
2/6/19,319
2/7/19,307
2/8/19,265
2/9/19,298
2/10/19,365
2/11/19,319
2/12/19,279
2/13/19,273
2/14/19,256
2/15/19,233
2/16/19,270
2/17/19,267
2/18/19,170
2/19/19,284
2/20/19,265
2/21/19,239
2/22/19,206
2/23/19,201
2/24/19,234
2/25/19,232
2/26/19,215
2/27/19,308
2/28/19,677
3/1/19,240
3/2/19,304
3/3/19,312
3/4/19,252
3/5/19,336
3/6/19,302
3/7/19,246
3/8/19,199
3/9/19,231
3/10/19,284
3/11/19,266
3/12/19,316
3/13/19,299
3/14/19,226
3/15/19,226
3/16/19,238
3/17/19,259
3/18/19,190
3/19/19,220
3/20/19,193
3/21/19,198
3/22/19,176
3/23/19,197
3/24/19,245
3/25/19,191
3/26/19,217
3/27/19,171
3/28/19,198
3/29/19,150
3/30/19,175
3/31/19,173
4/1/19,211
4/2/19,209
4/3/19,219
4/4/19,369
4/5/19,174
4/6/19,196
4/7/19,242
4/8/19,186
4/9/19,193
4/10/19,155
4/11/19,166
4/12/19,146
4/13/19,169
4/14/19,186
4/15/19,198
4/16/19,243
4/17/19,277
4/18/19,278
4/19/19,366
4/20/19,271
4/21/19,235
4/22/19,212
4/23/19,178
4/24/19,229
4/25/19,185
4/26/19,142
4/27/19,213
4/28/19,208
4/29/19,146
4/30/19,173
5/1/19,150
5/2/19,153
5/3/19,160
5/4/19,201
5/5/19,176
5/6/19,181
5/7/19,140
5/8/19,171
5/9/19,148
5/10/19,160
5/11/19,150
5/12/19,184
5/13/19,176
5/14/19,129
5/15/19,152
5/16/19,190
5/17/19,127
5/18/19,187
5/19/19,205
5/20/19,216
5/21/19,199
5/22/19,223
5/23/19,256
5/24/19,232
5/25/19,191
5/26/19,229
5/27/19,234
5/28/19,242
5/29/19,253
5/30/19,238
5/31/19,234
6/1/19,158
6/2/19,171
6/3/19,157
6/4/19,197
6/5/19,163
6/6/19,166
6/7/19,152
6/8/19,157
6/9/19,212
6/10/19,183
6/11/19,173
6/12/19,192
6/13/19,177
6/14/19,358
6/15/19,216
6/16/19,198
6/17/19,181
6/18/19,180
6/19/19,178
6/20/19,184
6/21/19,199
6/22/19,141
6/23/19,186
6/24/19,164
6/25/19,161
6/26/19,138
6/27/19,161
6/28/19,137
6/29/19,170
6/30/19,163
7/1/19,215
7/2/19,176
7/3/19,202
7/4/19,269
7/5/19,153
7/6/19,126
7/7/19,176
7/8/19,202
7/9/19,224
7/10/19,189
7/11/19,159
7/12/19,123
7/13/19,141
7/14/19,131
7/15/19,170
7/16/19,145
7/17/19,149
7/18/19,130
7/19/19,137
7/20/19,145
7/21/19,131
7/22/19,144
7/23/19,94
7/24/19,163
7/25/19,200
7/26/19,130
7/27/19,174
7/28/19,187
7/29/19,186
7/30/19,192
7/31/19,204
8/1/19,142
8/2/19,113
8/3/19,131
8/4/19,310
8/5/19,223
8/6/19,197
8/7/19,172
8/8/19,146
8/9/19,158
8/10/19,140
8/11/19,161
8/12/19,175
8/13/19,151
8/14/19,167
8/15/19,149
8/16/19,151
8/17/19,130
8/18/19,163
8/19/19,162
8/20/19,158
8/21/19,154
8/22/19,281
8/23/19,175
8/24/19,135
8/25/19,142
8/26/19,128
8/27/19,157
8/28/19,204
8/29/19,178
8/30/19,156
8/31/19,163
9/1/19,187
9/2/19,197
9/3/19,162
9/4/19,212
9/5/19,310
9/6/19,254
9/7/19,199
9/8/19,168
9/9/19,205
9/10/19,201
9/11/19,180
9/12/19,196
9/13/19,184
9/14/19,429
9/15/19,255
9/16/19,174
9/17/19,178
9/18/19,197
9/19/19,190
9/20/19,131
9/21/19,183
9/22/19,255
9/23/19,234
9/24/19,239
9/25/19,236
9/26/19,250
9/27/19,216
9/28/19,231
9/29/19,256
9/30/19,270
10/1/19,219
10/2/19,248
10/3/19,357
10/4/19,407
10/5/19,302
10/6/19,329
10/7/19,383
10/8/19,358
10/9/19,276
10/10/19,302
10/11/19,251
10/12/19,251
10/13/19,293
10/14/19,261
10/15/19,276
10/16/19,291
10/17/19,277
10/18/19,259
10/19/19,247
10/20/19,316
10/21/19,287
10/22/19,276
10/23/19,261
10/24/19,276
10/25/19,256
10/26/19,310
10/27/19,288
10/28/19,308
