date;video_id;video_title;video_description
2021/06/22;3Cg8-eoNXdY;SLIM FIT DENIM JEANS LATEST PICK UPS + COLLECTION TRY- ON | Stone Island, Ksubi, Neuw Denim.;"This video has been sponsored by @FarFetch
GET  UP TO 60% OFF SALE ITEMS -  https://prf.hn/l/KMEqlQb


Items from this video Below 
In this video I go through some of my own denim jeans collections as well as selected peices I got in from the FarFetch Extra 15% Off Sale. I personally like going for slim fit denim jeans so also in this video i've decided to throw together some tshirts from my collection to show what type of outfits I put together to give some  inspiration. Hope you enjoy!


Neuw Denim Iggy Slim with Rips - https://prf.hn/l/7RLaWRQ
Marcelo Burlon T Shirt - https://prf.hn/l/7abkVGV
Moncler Grey Polo - https://prf.hn/l/rGEjdLo
Stone Island Polo - https://prf.hn/l/7AvdjEn
Commes Des Garcon - https://prf.hn/l/6b1QwAG
Aries Oversized T Shirt - https://prf.hn/l/61p5dNX
Ksubi T Shirt - https://prf.hn/l/708dox1
Y-3 Floral T Shirt - https://prf.hn/l/rd9mqwN
Frame Skinny Fit Jeans - https://prf.hn/l/Kmo9Rpq"
2021/06/13;zgXoCGUcR9w;☀️☀️SUMMER OUTFIT PICKUPS UNBOXING | TMONCLER, CDG, NIKE, MARCELO BURLON;"THIS VIDEO HAS BEEN SPONSORED BY @SEVEN STORE

GET 15% OFF WITH CODE THT15 ON NEW SEASON ITEMS FROM BRANDS LIKE MONCLER, OFF-WHITE, CANADA GOOSE AND MORE, CLICK HERE https://tidd.ly/3pOMXmp

Sale Items up to 50% OFF - https://tidd.ly/3wmTDL2

In this video I try on a bunch of items that I got in from Seven Store, I thought i'd put together some outfits ideas and showcase a few selections from their range of stock. Hopefully something for everyone.


Get 15% OFF WITH CODE THT15 ON NEW SEASON ITEMS FROM BRANDS LIKE MONCLER, OFF-WHITE, CANADA GOOSE AND MORE, CLICK HERE https://tidd.ly/3pOMXmp

Sale Items up to 50% OFF - https://tidd.ly/3wmTDL2"
2021/06/09;AFpME2E2GAY;MONTHLY DESIGNER SELECTIONS UNBOXING & TRY-ON  | FT Stone Island, Palm Angels, Ksubi, Moncler, AMI;"THIS VIDEO HAS BEEN SPONSORED BY LUISAVIAROMA

Get up to 50% OFF Sale items + an extra 15% off at checkout with code FR15 - https://tinyurl.com/kxjhr237

Get 40% OFF WITH CODE 'S40' ON ITEMS ON THEIR WEBSITE WITHOUT A STAR
New Season - https://tinyurl.com/2cf7bzca
All Items In This video Are Below

Palm Angels Overiszed Sweater - https://bit.ly/3ct3kQr
Ksubi Bowling Shirt - https://bit.ly/3cu7HuB
Lardini Mens Jacket - https://bit.ly/3xmIPgn
Ami Sweat Hoody  - https://bit.ly/3w8R13u
Moncler Polo -  https://bit.ly/3x8g9Y7
Belstaff Zip Through Sweater - https://bit.ly/2SoC3rt
Alexander Mcqueen (mcQ) - https://bit.ly/3w7Uuz3
Stone Island Fitted Polo - https://bit.ly/3cs5zmS
Burberry Belt - https://bit.ly/3z8qBRn
Moncler Down Jacket  - https://bit.ly/2TXyPM9
Fear Of God T Shirt - https://bit.ly/3g6IeJR
Nike Nocta T Shirt - https://bit.ly/3glIzHl"
2021/06/03;4TJCzY3Ph88;ULTIMATE BALENCIAGA TRIPLE S , TRACK & SPEED SOCK TRAINER REVIEW | UNBOXING & TRY-ON;"This video has been sponsored @Browns 
@Browns  Footwear - https://prf.hn/l/6lo4del
Balenciaga Tracks - https://prf.hn/l/7YEQkzG

Balenciaga Triple S - https://prf.hn/l/7DB5PYj
Balenciaga Speed Socks - https://prf.hn/l/6Z8wL4V


ENTER OUR £250 COMPETITION GIVEAWAY TO SPEND at @EQVVS - https://upvir.al/115028/lp115028


Bio 
In this Video i've been sent some items Balenciaga Trainers to test drive from Browns. Browns is a leading luxury retailers that works hard to bring some of the finest garments from luxury labels around the world, in particular exclusive collaborations and pieces, as well us new upcomng brands. I compart the 3 pairs of Balenciaga triainers to provide the ultimate review.. Enjoy

All Items from Browns"
2021/05/27;TX3TFXp2y2M;🔥🔥 6 HOT MENSWEAR SUMMER SALES HAPPENING RIGHT NOW !!;"https://thehoxtontrend.com/latest-spring-sales-and-codes/

All the retailers in this Video 

Luisa Via Roma 30% OFF SELECTED ITEMS without a star use code S30 for discount on random occasions you might even get 40% off so keep checking
https://bit.ly/3foWnBC

Footlocker Up To 50% OFF
https://bit.ly/3fTJoHn

Woodhouse Clothing - Up To 50% OFF 
https://bit.ly/3fw4DQB

BBClothing - Up To 60% OFF 
https://bit.ly/3vuCr5X

Sevenstore 30% OFF CODE 'BANK30' on selected items only through this link
https://bit.ly/3p04Z4P For 15% off Moncler, Canada goose and CP company use code THT15

Nike - 30% OFF NEW SEASON & SALE CODE 'SUMMER21'
https://bit.ly/34kZjJe (offer ends 8AM BST 28th May 2021

Our Website https://thehoxtontrend.com"
2021/05/23;JwfoTFgr74Y;MONTHLY OUTFIT TRY-ON - VALENTINO ROCKRUNNER, KSUBI, AMI, RAPHA,  MONCLER, INSIDE OUT DENIM, PREVU;"THIS VIDEO HAS BEEN SPONSORED BY @MAVERICKSANDWOLF

Get 20% Off Sunglasses & Prescriptions with our code HOXTON - https://tidd.ly/3veFYW1

In this episode I i try on a bunch if brands that we've had in over the last few weeks, i try on different outfit selections and give my thoughts on them . Enjoy

Shop Safe & Find Authentic Offers & Retailers
https://thehoxtontrend.com/

All Items In This video Are Below

Ksubi Jeans - https://bit.ly/3y5uu9f
Inside Out Denim - https://bit.ly/3vLAimd
Valentino Mesh Rock Runners - https://bit.ly/2SqYbRz
Rapha Tee - https://bit.ly/3y8jqYT
Ami Hoody - https://prf.hn/l/rd9m0Oq
Off White Vulcanized Trainers - https://bit.ly/3uQp6oq
Moncler T Shirt Large  Logo - https://bit.ly/3eWecGW"
2021/05/21;fSqVdDfqZME;⚽⚽ STONE ISLAND BUYS ITALIAN FOOTBALL CLUB ??;"In this video I look at recent reports that Stone Island is on it's way to become the first fashion brand to buy a football club in Italy, Modena FC.


For more news and trending topics vists our website - https://thehoxtontrend.com/"
2021/05/17;YUV-fXikTl4;MINI MONTHLY DESIGNER OUTFIT HAUL & + TRY-ON ft. FARFETCH;"This video has been sponsored by @ FarFetch 

UP TO 60% OFF @farfetch Sale - https://tinyurl.com/ntawwu2w

Bio 
In this Video i've been sent some items to test out and try from FarFetch. Farfetch is a leading global platform that works with premium retailers across the globe to bring you some of the largest selections of clothing online. I take a quick look at the items in detail and do a speedy try on so you can see the fits of each item. Enjoy

All Items from Farfetch

Rapha X Robyn Lynch TEE
https://bit.ly/3y8jqYT

Rapha Sweatshirt
https://bit.ly/2SGoZxg

Ami T Shirt
https://bit.ly/3hlTe77

Moncler Over Sized Logo Tee
https://bit.ly/33JiwnM

Moncler Polo 
https://bit.ly/3fepBlC

Ksubi Jeans 
https://bit.ly/3y5uu9f

Off White Vulcanized Trainers
https://bit.ly/3uQp6oq

Palm Angels"
2021/05/16;MD1ynBcBLYU;😲 😲 REVISTING STONE ISLAND OUTLET AFTER LOCKDOWN MAY 2021;"Remember to find the latest sales and deals every week to visit our website thehoxtontrend.com where we only show you authentic and official stockists of premium brands so you can shop safe online. 


https://thehoxtontrend.com/"
2021/05/09;5fwm-A4xckQ;HOW TO STYLE LIKE CHALLENGE | ALEX OXLADE CHAMBERLAIN + DESIGNER UNBOXING 💥💥💥;"This Video Is Sponsored by @Selfridges In this video I set myself a Style Challenge to get the look of a media personality, in this video i've gone with footballer Alex Ox Chamberlain. In this video i'll I take a look at how his style and see how that can be achieved on various budgets. I go through his instagram to break down his style traits and see if I can get a similar look using the selfridges website and more. PS All items on this video can be found below. 


Enjoy



OUTFIT 1 DENIM ON DENIM

Outerwear
Palm Angels Logo Print Tee
Bitly: https://bit.ly/3ujrq6Z

All Saints Shearling
Bitly: https://bit.ly/2RylVTh

T shirts
Andson Homage Graphic Tee
Bitly: https://bit.ly/2QQsAZm

Prevu Signature Graphic Tee
Bitly: https://bit.ly/3tjqs9n

Jeans
Inside Denim Jeans Skinny Fit
Bitly: https://bit.ly/3vLAimd

Ksubi Van Winkle Blazed Trash Skinny Jeans
Bitly: https://bit.ly/3nQAWw1

Trainers
Valentino Garavani Rockstud Camo Trainers
Bitly: https://bit.ly/2SqYbRz

Axel Arigato Dunk Suede Leather JeansBitly: https://bit.ly/3vFROIk
OUFIT 2 Military Streetwear Style 

Outerwear 
Ami Chest Pocket Overshirt
Bitly: https://bit.ly/3hbELL3

Off White x Browns 50 Diagonal Print Denim Jacket
Bitly: https://bit.ly/33k6XmB

Tshirt
Moncler T Shirt Large  Logo 

Bitly: https://bit.ly/3eWecGW
Jeans 
G Start Rovic tapered Leg Slim Fit
Bitly: https://bit.ly/3uu77DW

Stone Island Cotton Tela Cargo Trousers
Bitly: https://bit.ly/3uqDWl5


Trainers
Gucci Canvas Tennis Trainer 1977 Low Tops
Bitly: https://bit.ly/2RrDK6A

Axel Arigato Genesis Vintage Leopard Trainers
Bitly: https://bit.ly/3upvWAZ

Sunglasses 
Persol Pilot SunglassesBitly: https://bit.ly/3tm5PcU
Outfit 3 - AOC Footballer No Budget

Outerwear
Golden Bear Varisty jacket
Bitly: https://bit.ly/2RsfCRs

Jeans 
Amiri Hand Painted Skinny Fit Jeans
Bitly: https://bit.ly/3b8ZNWO

Trainers
Nike Fontaka Edge Mesh Trainers
Bitly: https://bit.ly/3uqNFb4

Rhude Rhecess Hi Leather Trainers 
Bitly: https://bit.ly/33iLAlw

Watch
Cartier Santos Stainless Steel Watch
Bitly: https://bit.ly/3vKQXGp
T shirts
Amiri Core Print T Shirt
Bitly: https://bit.ly/2QXfVDO

Sunglasses 
Tom For Acetate Aviator Sunglasses
Bitly: https://bit.ly/3vJ4iPA

Jewellery
Hatton Labs Mini Bone Sterling Silver Necklace
Bitly: https://bit.ly/2PSOvOP

Alyx 9SM Contrast Link Chain
Bitly: https://bit.ly/3tpjcJ2"
