video_id;views;likes;dislikes;comments
3Cg8-eoNXdY;3275;106;8;36
zgXoCGUcR9w;4295;173;7;39
AFpME2E2GAY;5642;209;3;38
4TJCzY3Ph88;4134;136;6;38
TX3TFXp2y2M;7385;220;4;14
JwfoTFgr74Y;5308;185;5;35
fSqVdDfqZME;8618;232;2;27
YUV-fXikTl4;4479;157;5;25
MD1ynBcBLYU;47248;1667;28;147
5fwm-A4xckQ;3248;216;7;17
QDFfPAaWTV4;9513;441;8;78
5ZahqIDPtj8;6178;170;6;21
pMJ0a8TaOzE;4858;159;5;25
QgRvH63FqaU;33976;1406;22;107
QYTjDsUQSB0;5861;210;11;75
equewwgv550;11880;448;20;59
KZeTQvTIST4;9984;337;2;79
dZXXWOgUlP0;3530;150;3;26
8hx_CVq3vEg;8050;223;4;65
dJzVLCh7rnk;21317;353;8;76
AvKrOa0ltxw;3397;92;2;29
hGlUVl7qhYs;15631;370;11;92
PTQOxtsIOGw;13487;314;22;61
f1qHeW-wgKU;6841;184;8;25
m7uDJShYyt4;7764;291;12;80
0IQxwquZ1z8;13928;345;10;127
wNq_i67M2d8;9364;295;6;63
R-7Ue5171VQ;3644;109;3;15
qz9vH0DeeYQ;24352;402;10;141
7-WcffbJk4k;10893;227;10;40
KCvSG2F46Y4;20748;422;10;51
pkrMzCGL4h4;8383;156;6;25
_X1vkkjPfIw;4174;134;2;56
TeOxlp0wpr0;22480;381;10;84
1aZVCuS7WLM;28462;694;14;177
ySKd4_Fhfo4;15503;564;12;96
7IuAKaKX6ow;10278;353;7;72
JzhhS0I5O0k;7444;249;7;36
JkanQkHkong;12770;348;10;92
uToWtYyMg1M;19496;541;13;72
WHa1EELqPqs;17279;495;8;122
r866PY3E5p4;12882;295;4;31
KyBHLE7LXKE;24637;912;15;161
J1A3ZRQcgKg;12622;488;11;91
E3KSEJMmbcI;10964;326;5;82
4qaxMOL3qn8;6437;279;9;45
bEF1KRrygS4;83381;1331;55;360
y3UQtiJ1jTU;24598;595;13;240
kuAX283wb_E;23682;854;9;179
-gTkxpx8sok;40082;1530;19;187
fe5JRVmpZWw;28980;600;14;94
QfuT1JtAKtQ;57297;1901;34;211
CVgPvQ1yxOA;70737;2358;25;152
Vug_rPfBUF0;11389;305;18;46
hRTAyAmuo6I;10188;268;12;45
fKoz-ERraNk;5397;142;6;21
-62No0ZxYdo;46360;914;41;117
rGosRtdmg_E;3626;118;11;22
Tkj7JKzhnv4;14905;374;9;108
NivC1gu-Wi8;9726;355;6;47
-_sRqyAV21g;17340;525;13;145
fR2ZdbX7otA;16420;479;13;101
8_mMgloH06Y;26795;763;25;151
9y1C4OA_5VI;13538;354;14;106
MqDdjuTZgZs;54327;528;70;126
XfEOrjWw8Vk;7553;301;4;43
ScyCWqwK2PQ;2800;95;3;27
zjbRIzeGBz8;22975;789;17;219
ymraqs1B_Nw;12426;456;10;51
XfVvds5-TWs;16836;341;11;112
_MqhXMG5t_Y;41683;1188;28;98
ieNYrZkiC9Q;26901;624;26;139
sEKT-VpShB8;18031;282;15;41
lZDYNum43CI;81335;819;43;90
o9S-1p1GZzs;9288;367;6;107
vFP9RbUhWcI;55365;491;32;50
RVOugU-VBWM;41223;730;17;80
pz4Ue39xKOw;17888;418;17;84
OnjFRhzhvDk;24151;452;17;68
iA27B9BmhlQ;8541;314;3;61
jltsAQQQztc;14620;255;8;68
McjzpmbVsNI;9813;229;15;38
7Kg62xryma0;18949;492;7;84
40_abdTaZTw;17370;442;12;60
jBNHj9UeN7A;70505;909;36;153
gZwiZWy71XA;9975;268;11;55
JiiixEex-z0;36719;696;25;138
0ecObmzXrHE;47291;1035;54;261
7kmNfzzgVvs;46509;605;23;102
623Z-KIRyuY;19218;386;14;60
E6qtmUH7CC4;42730;1076;18;150
J4OiZZtNkik;51227;460;11;93
4qXN_m0s5j0;15006;211;4;42
s5snqe5KoaE;66449;617;36;67
YCkWZ0rmpxE;7970;210;11;29
Lx1Hayr-s8I;34110;721;18;120
hSluv7Goch8;23250;795;27;164
8SCxvAlxP7s;12023;598;16;52
t-xZRZx63sw;79243;2076;41;178
