date,users,year,month,day
2017-10-01,0,2017,10,1
2017-10-02,0,2017,10,2
2017-10-03,0,2017,10,3
2017-10-04,0,2017,10,4
2017-10-05,0,2017,10,5
2017-10-06,0,2017,10,6
2017-10-07,0,2017,10,7
2017-10-08,0,2017,10,8
2017-10-09,0,2017,10,9
2017-10-10,0,2017,10,10
2017-10-11,0,2017,10,11
2017-10-12,0,2017,10,12
2017-10-13,0,2017,10,13
2017-10-14,0,2017,10,14
2017-10-15,0,2017,10,15
2017-10-16,0,2017,10,16
2017-10-17,0,2017,10,17
2017-10-18,0,2017,10,18
2017-10-19,0,2017,10,19
2017-10-20,0,2017,10,20
2017-10-21,0,2017,10,21
2017-10-22,0,2017,10,22
2017-10-23,0,2017,10,23
2017-10-24,0,2017,10,24
2017-10-25,0,2017,10,25
2017-10-26,0,2017,10,26
2017-10-27,0,2017,10,27
2017-10-28,0,2017,10,28
2017-10-29,0,2017,10,29
2017-10-30,0,2017,10,30
2017-10-31,0,2017,10,31
2017-11-01,0,2017,11,1
2017-11-02,0,2017,11,2
2017-11-03,0,2017,11,3
2017-11-04,0,2017,11,4
2017-11-05,0,2017,11,5
2017-11-06,0,2017,11,6
2017-11-07,40,2017,11,7
2017-11-08,90,2017,11,8
2017-11-09,79,2017,11,9
2017-11-10,16,2017,11,10
2017-11-11,10,2017,11,11
2017-11-12,18,2017,11,12
2017-11-13,15,2017,11,13
2017-11-14,25,2017,11,14
2017-11-15,29,2017,11,15
2017-11-16,41,2017,11,16
2017-11-17,35,2017,11,17
2017-11-18,23,2017,11,18
2017-11-19,35,2017,11,19
2017-11-20,23,2017,11,20
2017-11-21,29,2017,11,21
2017-11-22,30,2017,11,22
2017-11-23,6,2017,11,23
2017-11-24,5,2017,11,24
2017-11-25,2,2017,11,25
2017-11-26,46,2017,11,26
2017-11-27,45,2017,11,27
2017-11-28,141,2017,11,28
2017-11-29,268,2017,11,29
2017-11-30,69,2017,11,30
2017-12-01,52,2017,12,1
2017-12-02,21,2017,12,2
2017-12-03,36,2017,12,3
2017-12-04,25,2017,12,4
2017-12-05,29,2017,12,5
2017-12-06,259,2017,12,6
2017-12-07,140,2017,12,7
2017-12-08,40,2017,12,8
2017-12-09,254,2017,12,9
2017-12-10,151,2017,12,10
2017-12-11,60,2017,12,11
2017-12-12,174,2017,12,12
2017-12-13,59,2017,12,13
2017-12-14,56,2017,12,14
2017-12-15,35,2017,12,15
2017-12-16,29,2017,12,16
2017-12-17,89,2017,12,17
2017-12-18,90,2017,12,18
2017-12-19,78,2017,12,19
2017-12-20,134,2017,12,20
2017-12-21,68,2017,12,21
2017-12-22,51,2017,12,22
2017-12-23,52,2017,12,23
2017-12-24,45,2017,12,24
2017-12-25,53,2017,12,25
2017-12-26,80,2017,12,26
2017-12-27,61,2017,12,27
2017-12-28,56,2017,12,28
2017-12-29,71,2017,12,29
2017-12-30,53,2017,12,30
2017-12-31,42,2017,12,31
2018-01-01,57,2018,1,1
2018-01-02,63,2018,1,2
2018-01-03,78,2018,1,3
2018-01-04,73,2018,1,4
2018-01-05,38,2018,1,5
2018-01-06,87,2018,1,6
2018-01-07,61,2018,1,7
2018-01-08,51,2018,1,8
2018-01-09,45,2018,1,9
2018-01-10,55,2018,1,10
2018-01-11,46,2018,1,11
2018-01-12,34,2018,1,12
2018-01-13,49,2018,1,13
2018-01-14,70,2018,1,14
2018-01-15,47,2018,1,15
2018-01-16,45,2018,1,16
2018-01-17,44,2018,1,17
2018-01-18,49,2018,1,18
2018-01-19,38,2018,1,19
2018-01-20,40,2018,1,20
2018-01-21,55,2018,1,21
2018-01-22,47,2018,1,22
2018-01-23,57,2018,1,23
2018-01-24,34,2018,1,24
2018-01-25,58,2018,1,25
2018-01-26,51,2018,1,26
2018-01-27,46,2018,1,27
2018-01-28,79,2018,1,28
2018-01-29,49,2018,1,29
2018-01-30,121,2018,1,30
2018-01-31,66,2018,1,31
2018-02-01,32,2018,2,1
2018-02-02,41,2018,2,2
2018-02-03,43,2018,2,3
2018-02-04,47,2018,2,4
2018-02-05,137,2018,2,5
2018-02-06,113,2018,2,6
2018-02-07,74,2018,2,7
2018-02-08,81,2018,2,8
2018-02-09,85,2018,2,9
2018-02-10,62,2018,2,10
2018-02-11,78,2018,2,11
2018-02-12,67,2018,2,12
2018-02-13,44,2018,2,13
2018-02-14,447,2018,2,14
2018-02-15,158,2018,2,15
2018-02-16,214,2018,2,16
2018-02-17,69,2018,2,17
2018-02-18,49,2018,2,18
2018-02-19,50,2018,2,19
2018-02-20,40,2018,2,20
2018-02-21,54,2018,2,21
2018-02-22,306,2018,2,22
2018-02-23,258,2018,2,23
2018-02-24,228,2018,2,24
2018-02-25,60,2018,2,25
2018-02-26,59,2018,2,26
2018-02-27,61,2018,2,27
2018-02-28,59,2018,2,28
2018-03-01,217,2018,3,1
2018-03-02,123,2018,3,2
2018-03-03,68,2018,3,3
2018-03-04,75,2018,3,4
2018-03-05,67,2018,3,5
2018-03-06,44,2018,3,6
2018-03-07,55,2018,3,7
2018-03-08,205,2018,3,8
2018-03-09,194,2018,3,9
2018-03-10,169,2018,3,10
2018-03-11,301,2018,3,11
2018-03-12,182,2018,3,12
2018-03-13,99,2018,3,13
2018-03-14,79,2018,3,14
2018-03-15,213,2018,3,15
2018-03-16,155,2018,3,16
2018-03-17,76,2018,3,17
2018-03-18,82,2018,3,18
2018-03-19,302,2018,3,19
2018-03-20,167,2018,3,20
2018-03-21,103,2018,3,21
2018-03-22,118,2018,3,22
2018-03-23,100,2018,3,23
2018-03-24,75,2018,3,24
2018-03-25,78,2018,3,25
2018-03-26,122,2018,3,26
2018-03-27,242,2018,3,27
2018-03-28,95,2018,3,28
2018-03-29,134,2018,3,29
2018-03-30,152,2018,3,30
2018-03-31,223,2018,3,31
2018-04-01,206,2018,4,1
2018-04-02,279,2018,4,2
2018-04-03,155,2018,4,3
2018-04-04,147,2018,4,4
2018-04-05,116,2018,4,5
2018-04-06,97,2018,4,6
2018-04-07,94,2018,4,7
2018-04-08,125,2018,4,8
2018-04-09,91,2018,4,9
2018-04-10,313,2018,4,10
2018-04-11,264,2018,4,11
2018-04-12,152,2018,4,12
2018-04-13,117,2018,4,13
2018-04-14,119,2018,4,14
2018-04-15,214,2018,4,15
2018-04-16,357,2018,4,16
2018-04-17,149,2018,4,17
2018-04-18,99,2018,4,18
2018-04-19,129,2018,4,19
2018-04-20,206,2018,4,20
2018-04-21,141,2018,4,21
2018-04-22,89,2018,4,22
2018-04-23,137,2018,4,23
2018-04-24,93,2018,4,24
2018-04-25,89,2018,4,25
2018-04-26,84,2018,4,26
2018-04-27,100,2018,4,27
2018-04-28,102,2018,4,28
2018-04-29,154,2018,4,29
2018-04-30,286,2018,4,30
2018-05-01,220,2018,5,1
2018-05-02,146,2018,5,2
2018-05-03,75,2018,5,3
2018-05-04,82,2018,5,4
2018-05-05,47,2018,5,5
2018-05-06,253,2018,5,6
2018-05-07,224,2018,5,7
2018-05-08,145,2018,5,8
2018-05-09,72,2018,5,9
2018-05-10,87,2018,5,10
2018-05-11,59,2018,5,11
2018-05-12,60,2018,5,12
2018-05-13,95,2018,5,13
2018-05-14,73,2018,5,14
2018-05-15,510,2018,5,15
2018-05-16,281,2018,5,16
2018-05-17,180,2018,5,17
2018-05-18,127,2018,5,18
2018-05-19,104,2018,5,19
2018-05-20,147,2018,5,20
2018-05-21,105,2018,5,21
2018-05-22,121,2018,5,22
2018-05-23,154,2018,5,23
2018-05-24,219,2018,5,24
2018-05-25,158,2018,5,25
2018-05-26,114,2018,5,26
2018-05-27,144,2018,5,27
2018-05-28,144,2018,5,28
2018-05-29,121,2018,5,29
2018-05-30,116,2018,5,30
2018-05-31,220,2018,5,31
2018-06-01,295,2018,6,1
2018-06-02,247,2018,6,2
2018-06-03,177,2018,6,3
2018-06-04,238,2018,6,4
2018-06-05,58,2018,6,5
2018-06-06,20,2018,6,6
2018-06-07,238,2018,6,7
2018-06-08,128,2018,6,8
2018-06-09,137,2018,6,9
2018-06-10,90,2018,6,10
2018-06-11,258,2018,6,11
2018-06-12,203,2018,6,12
2018-06-13,279,2018,6,13
2018-06-14,127,2018,6,14
2018-06-15,87,2018,6,15
2018-06-16,29,2018,6,16
2018-06-17,36,2018,6,17
2018-06-18,105,2018,6,18
2018-06-19,155,2018,6,19
2018-06-20,160,2018,6,20
2018-06-21,148,2018,6,21
2018-06-22,219,2018,6,22
2018-06-23,170,2018,6,23
2018-06-24,189,2018,6,24
2018-06-25,157,2018,6,25
2018-06-26,146,2018,6,26
2018-06-27,160,2018,6,27
2018-06-28,173,2018,6,28
2018-06-29,179,2018,6,29
2018-06-30,210,2018,6,30
2018-07-01,161,2018,7,1
2018-07-02,145,2018,7,2
2018-07-03,85,2018,7,3
2018-07-04,150,2018,7,4
2018-07-05,163,2018,7,5
2018-07-06,106,2018,7,6
2018-07-07,107,2018,7,7
2018-07-08,368,2018,7,8
2018-07-09,368,2018,7,9
2018-07-10,252,2018,7,10
2018-07-11,172,2018,7,11
2018-07-12,165,2018,7,12
2018-07-13,144,2018,7,13
2018-07-14,130,2018,7,14
2018-07-15,144,2018,7,15
2018-07-16,210,2018,7,16
2018-07-17,187,2018,7,17
2018-07-18,191,2018,7,18
2018-07-19,278,2018,7,19
2018-07-20,253,2018,7,20
2018-07-21,525,2018,7,21
2018-07-22,489,2018,7,22
2018-07-23,340,2018,7,23
2018-07-24,349,2018,7,24
2018-07-25,386,2018,7,25
2018-07-26,351,2018,7,26
2018-07-27,270,2018,7,27
2018-07-28,261,2018,7,28
2018-07-29,276,2018,7,29
2018-07-30,832,2018,7,30
2018-07-31,696,2018,7,31
2018-08-01,464,2018,8,1
2018-08-02,389,2018,8,2
2018-08-03,336,2018,8,3
2018-08-04,680,2018,8,4
2018-08-05,363,2018,8,5
2018-08-06,313,2018,8,6
2018-08-07,416,2018,8,7
2018-08-08,378,2018,8,8
2018-08-09,360,2018,8,9
2018-08-10,332,2018,8,10
2018-08-11,331,2018,8,11
2018-08-12,414,2018,8,12
2018-08-13,530,2018,8,13
2018-08-14,610,2018,8,14
2018-08-15,388,2018,8,15
2018-08-16,399,2018,8,16
2018-08-17,349,2018,8,17
2018-08-18,321,2018,8,18
2018-08-19,365,2018,8,19
2018-08-20,450,2018,8,20
2018-08-21,568,2018,8,21
2018-08-22,419,2018,8,22
2018-08-23,363,2018,8,23
2018-08-24,375,2018,8,24
2018-08-25,272,2018,8,25
2018-08-26,384,2018,8,26
2018-08-27,462,2018,8,27
2018-08-28,427,2018,8,28
2018-08-29,411,2018,8,29
2018-08-30,330,2018,8,30
2018-08-31,306,2018,8,31
2018-09-01,273,2018,9,1
2018-09-02,355,2018,9,2
2018-09-03,346,2018,9,3
2018-09-04,349,2018,9,4
2018-09-05,384,2018,9,5
2018-09-06,193,2018,9,6
2018-09-07,368,2018,9,7
2018-09-08,376,2018,9,8
2018-09-09,548,2018,9,9
2018-09-10,465,2018,9,10
2018-09-11,448,2018,9,11
2018-09-12,387,2018,9,12
2018-09-13,333,2018,9,13
2018-09-14,322,2018,9,14
