users,year,month,day,video_id,video_views,video_likes,video_dislikes,comments_count,total_comment_likes_count
40,2017,11,7,3r3lWi_T45g,11564.0,345.0,2.0,67.0,52.0
90,2017,11,8,3r3lWi_T45g,11564.0,345.0,2.0,67.0,52.0
79,2017,11,9,3r3lWi_T45g,11564.0,345.0,2.0,67.0,52.0
16,2017,11,10,3r3lWi_T45g,11564.0,345.0,2.0,67.0,52.0
10,2017,11,11,3r3lWi_T45g,11564.0,345.0,2.0,67.0,52.0
18,2017,11,12,FxURRUI-rGQ,5094.0,180.0,6.0,50.0,69.0
15,2017,11,13,5jCF7VsM9fg,3430.0,108.0,4.0,22.0,27.0
15,2017,11,13,Yvu9QBJio5w,22509.0,442.0,12.0,79.0,122.0
25,2017,11,14,Yvu9QBJio5w,22509.0,442.0,12.0,79.0,122.0
29,2017,11,15,Yvu9QBJio5w,22509.0,442.0,12.0,79.0,122.0
41,2017,11,16,Yvu9QBJio5w,22509.0,442.0,12.0,79.0,122.0
35,2017,11,17,Yvu9QBJio5w,22509.0,442.0,12.0,79.0,122.0
23,2017,11,18,Yvu9QBJio5w,22509.0,442.0,12.0,79.0,122.0
35,2017,11,19,PHwlmlKlkC0,16796.0,258.0,10.0,39.0,16.0
23,2017,11,20,BWZ5qqWcKKI,8175.0,330.0,3.0,101.0,49.0
29,2017,11,21,BWZ5qqWcKKI,8175.0,330.0,3.0,101.0,49.0
30,2017,11,22,Z4g7cJcO_po,9121.0,309.0,5.0,50.0,41.0
6,2017,11,23,PbEVgkFsWOg,22141.0,365.0,11.0,74.0,156.0
5,2017,11,24,PbEVgkFsWOg,22141.0,365.0,11.0,74.0,156.0
2,2017,11,25,PbEVgkFsWOg,22141.0,365.0,11.0,74.0,156.0
46,2017,11,26,Vr_t15m4tu0,9212.0,237.0,4.0,40.0,36.0
45,2017,11,27,sJLXtbreyX0,11977.0,373.0,1.0,55.0,85.0
141,2017,11,28,sJLXtbreyX0,11977.0,373.0,1.0,55.0,85.0
268,2017,11,29,lY60ILtQ2pY,30525.0,773.0,14.0,98.0,300.0
69,2017,11,30,lY60ILtQ2pY,30525.0,773.0,14.0,98.0,300.0
52,2017,12,1,lY60ILtQ2pY,30525.0,773.0,14.0,98.0,300.0
21,2017,12,2,lY60ILtQ2pY,30525.0,773.0,14.0,98.0,300.0
36,2017,12,3,PiLlbTyffzU,24583.0,565.0,9.0,113.0,237.0
25,2017,12,4,PiLlbTyffzU,24583.0,565.0,9.0,113.0,237.0
29,2017,12,5,GF7CndRaMgo,3357.0,149.0,7.0,30.0,29.0
259,2017,12,6,jImjVV_1rrc,15158.0,397.0,5.0,74.0,69.0
140,2017,12,7,jImjVV_1rrc,15158.0,397.0,5.0,74.0,69.0
40,2017,12,8,jImjVV_1rrc,15158.0,397.0,5.0,74.0,69.0
254,2017,12,9,jImjVV_1rrc,15158.0,397.0,5.0,74.0,69.0
151,2017,12,10,J0zYPwD-TVg,31620.0,484.0,14.0,54.0,82.0
60,2017,12,11,J0zYPwD-TVg,31620.0,484.0,14.0,54.0,82.0
174,2017,12,12,e57NB_fNqUs,71101.0,957.0,40.0,140.0,337.0
59,2017,12,13,e57NB_fNqUs,71101.0,957.0,40.0,140.0,337.0
56,2017,12,14,e57NB_fNqUs,71101.0,957.0,40.0,140.0,337.0
35,2017,12,15,e57NB_fNqUs,71101.0,957.0,40.0,140.0,337.0
29,2017,12,16,OnJOkrHKXcY,123882.0,1486.0,75.0,194.0,1207.0
89,2017,12,17,OnJOkrHKXcY,123882.0,1486.0,75.0,194.0,1207.0
90,2017,12,18,OnJOkrHKXcY,123882.0,1486.0,75.0,194.0,1207.0
78,2017,12,19,n3LQXLUW694,23362.0,347.0,16.0,59.0,47.0
134,2017,12,20,ylepXks8Ti8,205966.0,1629.0,109.0,211.0,832.0
68,2017,12,21,ylepXks8Ti8,205966.0,1629.0,109.0,211.0,832.0
51,2017,12,22,ylepXks8Ti8,205966.0,1629.0,109.0,211.0,832.0
52,2017,12,23,ylepXks8Ti8,205966.0,1629.0,109.0,211.0,832.0
45,2017,12,24,ylepXks8Ti8,205966.0,1629.0,109.0,211.0,832.0
53,2017,12,25,ylepXks8Ti8,205966.0,1629.0,109.0,211.0,832.0
80,2017,12,26,ylepXks8Ti8,205966.0,1629.0,109.0,211.0,832.0
61,2017,12,27,ylepXks8Ti8,205966.0,1629.0,109.0,211.0,832.0
56,2017,12,28,ylepXks8Ti8,205966.0,1629.0,109.0,211.0,832.0
71,2017,12,29,ylepXks8Ti8,205966.0,1629.0,109.0,211.0,832.0
53,2017,12,30,nHqEG-_O7bs,8743.0,319.0,9.0,69.0,102.0
42,2017,12,31,nHqEG-_O7bs,8743.0,319.0,9.0,69.0,102.0
57,2018,1,1,eQC6LNzD4mw,25966.0,562.0,18.0,142.0,380.0
63,2018,1,2,eQC6LNzD4mw,25966.0,562.0,18.0,142.0,380.0
78,2018,1,3,eQC6LNzD4mw,25966.0,562.0,18.0,142.0,380.0
73,2018,1,4,eQC6LNzD4mw,25966.0,562.0,18.0,142.0,380.0
38,2018,1,5,eQC6LNzD4mw,25966.0,562.0,18.0,142.0,380.0
87,2018,1,6,eQC6LNzD4mw,25966.0,562.0,18.0,142.0,380.0
61,2018,1,7,eQC6LNzD4mw,25966.0,562.0,18.0,142.0,380.0
51,2018,1,8,Mp9jcx1XonI,9413.0,244.0,10.0,31.0,52.0
45,2018,1,9,Mp9jcx1XonI,9413.0,244.0,10.0,31.0,52.0
55,2018,1,10,Mp9jcx1XonI,9413.0,244.0,10.0,31.0,52.0
46,2018,1,11,Mp9jcx1XonI,9413.0,244.0,10.0,31.0,52.0
34,2018,1,12,Mp9jcx1XonI,9413.0,244.0,10.0,31.0,52.0
49,2018,1,13,Mp9jcx1XonI,9413.0,244.0,10.0,31.0,52.0
70,2018,1,14,Z4IiOQ1ytEY,16581.0,529.0,7.0,138.0,113.0
47,2018,1,15,Z4IiOQ1ytEY,16581.0,529.0,7.0,138.0,113.0
45,2018,1,16,Z4IiOQ1ytEY,16581.0,529.0,7.0,138.0,113.0
44,2018,1,17,Z4IiOQ1ytEY,16581.0,529.0,7.0,138.0,113.0
49,2018,1,18,Z4IiOQ1ytEY,16581.0,529.0,7.0,138.0,113.0
38,2018,1,19,Z4IiOQ1ytEY,16581.0,529.0,7.0,138.0,113.0
40,2018,1,20,Z4IiOQ1ytEY,16581.0,529.0,7.0,138.0,113.0
55,2018,1,21,7cwAgRJPBxA,21942.0,370.0,6.0,69.0,98.0
47,2018,1,22,7cwAgRJPBxA,21942.0,370.0,6.0,69.0,98.0
57,2018,1,23,7cwAgRJPBxA,21942.0,370.0,6.0,69.0,98.0
34,2018,1,24,7cwAgRJPBxA,21942.0,370.0,6.0,69.0,98.0
58,2018,1,25,7cwAgRJPBxA,21942.0,370.0,6.0,69.0,98.0
51,2018,1,26,7cwAgRJPBxA,21942.0,370.0,6.0,69.0,98.0
46,2018,1,27,7cwAgRJPBxA,21942.0,370.0,6.0,69.0,98.0
79,2018,1,28,7cwAgRJPBxA,21942.0,370.0,6.0,69.0,98.0
49,2018,1,29,7cwAgRJPBxA,21942.0,370.0,6.0,69.0,98.0
121,2018,1,30,7cwAgRJPBxA,21942.0,370.0,6.0,69.0,98.0
66,2018,1,31,7cwAgRJPBxA,21942.0,370.0,6.0,69.0,98.0
32,2018,2,1,7cwAgRJPBxA,21942.0,370.0,6.0,69.0,98.0
41,2018,2,2,7cwAgRJPBxA,21942.0,370.0,6.0,69.0,98.0
43,2018,2,3,7cwAgRJPBxA,21942.0,370.0,6.0,69.0,98.0
47,2018,2,4,7cwAgRJPBxA,21942.0,370.0,6.0,69.0,98.0
137,2018,2,5,M64iBw-VA5o,16700.0,377.0,10.0,69.0,61.0
113,2018,2,6,M64iBw-VA5o,16700.0,377.0,10.0,69.0,61.0
74,2018,2,7,M64iBw-VA5o,16700.0,377.0,10.0,69.0,61.0
81,2018,2,8,VkLmpWRA2mg,30385.0,801.0,11.0,94.0,129.0
85,2018,2,9,VkLmpWRA2mg,30385.0,801.0,11.0,94.0,129.0
62,2018,2,10,VkLmpWRA2mg,30385.0,801.0,11.0,94.0,129.0
78,2018,2,11,VkLmpWRA2mg,30385.0,801.0,11.0,94.0,129.0
67,2018,2,12,VkLmpWRA2mg,30385.0,801.0,11.0,94.0,129.0
44,2018,2,13,VkLmpWRA2mg,30385.0,801.0,11.0,94.0,129.0
447,2018,2,14,VkLmpWRA2mg,30385.0,801.0,11.0,94.0,129.0
158,2018,2,15,VkLmpWRA2mg,30385.0,801.0,11.0,94.0,129.0
214,2018,2,16,VkLmpWRA2mg,30385.0,801.0,11.0,94.0,129.0
69,2018,2,17,VkLmpWRA2mg,30385.0,801.0,11.0,94.0,129.0
49,2018,2,18,VkLmpWRA2mg,30385.0,801.0,11.0,94.0,129.0
50,2018,2,19,VkLmpWRA2mg,30385.0,801.0,11.0,94.0,129.0
40,2018,2,20,VkLmpWRA2mg,30385.0,801.0,11.0,94.0,129.0
54,2018,2,21,VkLmpWRA2mg,30385.0,801.0,11.0,94.0,129.0
306,2018,2,22,VkLmpWRA2mg,30385.0,801.0,11.0,94.0,129.0
258,2018,2,23,VkLmpWRA2mg,30385.0,801.0,11.0,94.0,129.0
228,2018,2,24,VkLmpWRA2mg,30385.0,801.0,11.0,94.0,129.0
60,2018,2,25,VkLmpWRA2mg,30385.0,801.0,11.0,94.0,129.0
59,2018,2,26,VkLmpWRA2mg,30385.0,801.0,11.0,94.0,129.0
61,2018,2,27,VkLmpWRA2mg,30385.0,801.0,11.0,94.0,129.0
59,2018,2,28,VkLmpWRA2mg,30385.0,801.0,11.0,94.0,129.0
217,2018,3,1,VkLmpWRA2mg,30385.0,801.0,11.0,94.0,129.0
123,2018,3,2,tn8EiIocUI4,8515.0,244.0,8.0,41.0,21.0
68,2018,3,3,tn8EiIocUI4,8515.0,244.0,8.0,41.0,21.0
75,2018,3,4,1W0dPu1gjnA,34481.0,635.0,15.0,65.0,148.0
67,2018,3,5,1W0dPu1gjnA,34481.0,635.0,15.0,65.0,148.0
44,2018,3,6,1W0dPu1gjnA,34481.0,635.0,15.0,65.0,148.0
55,2018,3,7,1W0dPu1gjnA,34481.0,635.0,15.0,65.0,148.0
205,2018,3,8,qQ--JPr1JyA,2184516.0,15475.0,1185.0,896.0,10140.0
194,2018,3,9,qQ--JPr1JyA,2184516.0,15475.0,1185.0,896.0,10140.0
169,2018,3,10,qQ--JPr1JyA,2184516.0,15475.0,1185.0,896.0,10140.0
301,2018,3,11,8X1QKE4w8uA,15854.0,310.0,13.0,91.0,128.0
182,2018,3,12,8X1QKE4w8uA,15854.0,310.0,13.0,91.0,128.0
99,2018,3,13,8X1QKE4w8uA,15854.0,310.0,13.0,91.0,128.0
79,2018,3,14,8X1QKE4w8uA,15854.0,310.0,13.0,91.0,128.0
213,2018,3,15,8X1QKE4w8uA,15854.0,310.0,13.0,91.0,128.0
155,2018,3,16,8X1QKE4w8uA,15854.0,310.0,13.0,91.0,128.0
76,2018,3,17,8X1QKE4w8uA,15854.0,310.0,13.0,91.0,128.0
82,2018,3,18,8X1QKE4w8uA,15854.0,310.0,13.0,91.0,128.0
302,2018,3,19,G2i9r2OtGoQ,26409.0,557.0,19.0,101.0,139.0
167,2018,3,20,G2i9r2OtGoQ,26409.0,557.0,19.0,101.0,139.0
103,2018,3,21,G2i9r2OtGoQ,26409.0,557.0,19.0,101.0,139.0
118,2018,3,22,G2i9r2OtGoQ,26409.0,557.0,19.0,101.0,139.0
100,2018,3,23,G2i9r2OtGoQ,26409.0,557.0,19.0,101.0,139.0
75,2018,3,24,G2i9r2OtGoQ,26409.0,557.0,19.0,101.0,139.0
78,2018,3,25,G2i9r2OtGoQ,26409.0,557.0,19.0,101.0,139.0
122,2018,3,26,G2i9r2OtGoQ,26409.0,557.0,19.0,101.0,139.0
242,2018,3,27,G2i9r2OtGoQ,26409.0,557.0,19.0,101.0,139.0
95,2018,3,28,G2i9r2OtGoQ,26409.0,557.0,19.0,101.0,139.0
134,2018,3,29,o1J0vl9HliI,21508.0,452.0,8.0,43.0,55.0
152,2018,3,30,9vN9rRg3aBk,8517.0,293.0,6.0,53.0,30.0
223,2018,3,31,9vN9rRg3aBk,8517.0,293.0,6.0,53.0,30.0
206,2018,4,1,dOa5VrHQz8g,7698.0,173.0,2.0,31.0,22.0
279,2018,4,2,STdQCfiYixs,6937.0,191.0,5.0,43.0,26.0
155,2018,4,3,STdQCfiYixs,6937.0,191.0,5.0,43.0,26.0
147,2018,4,4,bebeP6X_htQ,5165.0,209.0,5.0,52.0,18.0
116,2018,4,5,bebeP6X_htQ,5165.0,209.0,5.0,52.0,18.0
97,2018,4,6,bebeP6X_htQ,5165.0,209.0,5.0,52.0,18.0
94,2018,4,7,bebeP6X_htQ,5165.0,209.0,5.0,52.0,18.0
125,2018,4,8,bebeP6X_htQ,5165.0,209.0,5.0,52.0,18.0
91,2018,4,9,bebeP6X_htQ,5165.0,209.0,5.0,52.0,18.0
313,2018,4,10,sVl7n-isfjw,4094.0,141.0,3.0,46.0,53.0
